_GG_ CA CA 4.467 5.88235
_GA_ CA CB 5.201 3.71747
_AG_ CB CA 5.201 3.71747
_GS_ CA CB 5.51 6.53595
_SG_ CB CA 5.51 6.53595
_GC_ CA CB 5.777 7.75194
_CG_ CB CA 5.777 7.75194
_GV_ CA CB 5.671 9.34579
_VG_ CB CA 5.671 9.34579
_GT_ CA CB 5.619 8.33333
_TG_ CB CA 5.619 8.33333
_GP_ CA CB 6.14 4.08163
_PG_ CB CA 6.14 4.08163
_GI_ CA CB 6.413 5.58659
_IG_ CB CA 6.413 5.58659
_GL_ CA CB 6.554 8
_LG_ CB CA 6.554 8
_GD_ CA CB 6.135 5.18135
_DG_ CB CA 6.135 5.18135
_GN_ CA CB 6.321 5.91716
_NG_ CB CA 6.321 5.91716
_GE_ CA CB 7.036 4.01606
_EG_ CB CA 7.036 4.01606
_GQ_ CA CB 7.297 4.62963
_QG_ CB CA 7.297 4.62963
_GM_ CA CB 7.383 3.92157
_MG_ CB CA 7.383 3.92157
_GK_ CA CB 8.216 2.7933
_KG_ CB CA 8.216 2.7933
_GH_ CA CB 7.472 4.85437
_HG_ CB CA 7.472 4.85437
_GF_ CA CB 7.966 4.56621
_FG_ CB CA 7.966 4.56621
_GY_ CA CB 9.098 3.74532
_YG_ CB CA 9.098 3.74532
_GR_ CA CB 9.166 2.99401
_RG_ CB CA 9.166 2.99401
_GW_ CA CB 8.966 4.1841
_WG_ CB CA 8.966 4.1841
_AA_ CB CB 5.381 3.81679
_AS_ CB CB 5.829 3.43643
_SA_ CB CB 5.829 3.43643
_AC_ CB CB 6.057 2.53807
_CA_ CB CB 6.057 2.53807
_AV_ CB CB 5.854 3.20513
_VA_ CB CB 5.854 3.20513
_AT_ CB CB 5.982 2.6455
_TA_ CB CB 5.982 2.6455
_AP_ CB CB 6.412 2.50627
_PA_ CB CB 6.412 2.50627
_AI_ CB CB 6.587 4.6729
_IA_ CB CB 6.587 4.6729
_AL_ CB CB 6.707 4
_LA_ CB CB 6.707 4
_AD_ CB CB 6.388 3.46021
_DA_ CB CB 6.388 3.46021
_AN_ CB CB 6.766 2.86533
_NA_ CB CB 6.766 2.86533
_AE_ CB CB 7.124 2.94118
_EA_ CB CB 7.124 2.94118
_AQ_ CB CB 7.583 2.80899
_QA_ CB CB 7.583 2.80899
_AM_ CB CB 7.605 2.53807
_MA_ CB CB 7.605 2.53807
_AK_ CB CB 8.327 1.81818
_KA_ CB CB 8.327 1.81818
_AH_ CB CB 7.591 2.63158
_HA_ CB CB 7.591 2.63158
_AF_ CB CB 8.162 3.84615
_FA_ CB CB 8.162 3.84615
_AY_ CB CB 9.121 2.25734
_YA_ CB CB 9.121 2.25734
_AR_ CB CB 9.365 2.06186
_RA_ CB CB 9.365 2.06186
_AW_ CB CB 9.252 3.44828
_WA_ CB CB 9.252 3.44828
_SS_ CB CB 6.19 3.42466
_SC_ CB CB 6.59 4.16667
_CS_ CB CB 6.59 4.16667
_SV_ CB CB 6.567 4.87805
_VS_ CB CB 6.567 4.87805
_ST_ CB CB 6.45 4.6729
_TS_ CB CB 6.45 4.6729
_SP_ CB CB 6.937 3.11526
_PS_ CB CB 6.937 3.11526
_SI_ CB CB 7.142 2.92398
_IS_ CB CB 7.142 2.92398
_SL_ CB CB 7.394 3.48432
_LS_ CB CB 7.394 3.48432
_SD_ CB CB 6.76 3.09598
_DS_ CB CB 6.76 3.09598
_SN_ CB CB 7.081 3.27869
_NS_ CB CB 7.081 3.27869
_SE_ CB CB 7.483 2.24215
_ES_ CB CB 7.483 2.24215
_SQ_ CB CB 7.807 2.45098
_QS_ CB CB 7.807 2.45098
_SM_ CB CB 8.01 2.71003
_MS_ CB CB 8.01 2.71003
_SK_ CB CB 8.792 2.24719
_KS_ CB CB 8.792 2.24719
_SH_ CB CB 8.051 2.29885
_HS_ CB CB 8.051 2.29885
_SF_ CB CB 8.694 2.53807
_FS_ CB CB 8.694 2.53807
_SY_ CB CB 9.594 2.14133
_YS_ CB CB 9.594 2.14133
_SR_ CB CB 9.753 2.07039
_RS_ CB CB 9.753 2.07039
_SW_ CB CB 9.77 2.01207
_WS_ CB CB 9.77 2.01207
_CC_ CB CB 6.426 5.61798
_CV_ CB CB 6.941 5.78035
_VC_ CB CB 6.941 5.78035
_CT_ CB CB 6.801 5.52486
_TC_ CB CB 6.801 5.52486
_CP_ CB CB 7.157 3.861
_PC_ CB CB 7.157 3.861
_CI_ CB CB 7.476 3.38983
_IC_ CB CB 7.476 3.38983
_CL_ CB CB 7.685 4.85437
_LC_ CB CB 7.685 4.85437
_CD_ CB CB 6.985 3.34448
_DC_ CB CB 6.985 3.34448
_CN_ CB CB 7.205 4.16667
_NC_ CB CB 7.205 4.16667
_CE_ CB CB 7.449 1.85874
_EC_ CB CB 7.449 1.85874
_CQ_ CB CB 7.962 2.88184
_QC_ CB CB 7.962 2.88184
_CM_ CB CB 8.265 2.2779
_MC_ CB CB 8.265 2.2779
_CK_ CB CB 8.494 1.91939
_KC_ CB CB 8.494 1.91939
_CH_ CB CB 8.422 4.92611
_HC_ CB CB 8.422 4.92611
_CF_ CB CB 9.026 3.4965
_FC_ CB CB 9.026 3.4965
_CY_ CB CB 9.362 1.7094
_YC_ CB CB 9.362 1.7094
_CR_ CB CB 9.46 2.03666
_RC_ CB CB 9.46 2.03666
_CW_ CB CB 9.752 2.39808
_WC_ CB CB 9.752 2.39808
_VV_ CB CB 6.759 6.89655
_VT_ CB CB 6.791 7.24638
_TV_ CB CB 6.791 7.24638
_VP_ CB CB 7.063 3.3557
_PV_ CB CB 7.063 3.3557
_VI_ CB CB 7.441 4.13223
_IV_ CB CB 7.441 4.13223
_VL_ CB CB 7.633 5.58659
_LV_ CB CB 7.633 5.58659
_VD_ CB CB 6.972 3.48432
_DV_ CB CB 6.972 3.48432
_VN_ CB CB 7.219 4.31034
_NV_ CB CB 7.219 4.31034
_VE_ CB CB 7.404 1.96078
_EV_ CB CB 7.404 1.96078
_VQ_ CB CB 8.008 2.78552
_QV_ CB CB 8.008 2.78552
_VM_ CB CB 8.335 3.38983
_MV_ CB CB 8.335 3.38983
_VK_ CB CB 8.077 1.57729
_KV_ CB CB 8.077 1.57729
_VH_ CB CB 8.179 2.61097
_HV_ CB CB 8.179 2.61097
_VF_ CB CB 9.057 4.06504
_FV_ CB CB 9.057 4.06504
_VY_ CB CB 9.442 1.86916
_YV_ CB CB 9.442 1.86916
_VR_ CB CB 9.513 1.94553
_RV_ CB CB 9.513 1.94553
_VW_ CB CB 10.021 3.69004
_WV_ CB CB 10.021 3.69004
_TT_ CB CB 6.676 5.31915
_TP_ CB CB 7.062 3.125
_PT_ CB CB 7.062 3.125
_TI_ CB CB 7.442 3.861
_IT_ CB CB 7.442 3.861
_TL_ CB CB 7.642 5.26316
_LT_ CB CB 7.642 5.26316
